film_name,genre,year,country,rate_film,description
Помни меня,"драма, мелодрама",2010,США,8.2,"Пронзительная история любви двух молодых людей. Для того, чтобы сохранить свою любовь, они должны пройти через суровые испытания и принести немыслимые жертвы судьбе. Но, несмотря ни на что, они обязательно будут вместе…"
Ледниковый период 4: Континентальный дрейф,"комедия, анимация, семейный, приключения",2012,США,8.2,"И опять Белка со своим орехом расколола земной шар и вызвала глобальный катаклизм! В результате Мэнни, Сид и Диего оказываются в море, отрезанные от своих друзей. В поисках пути назад наша троица пускается в опасное путешествие по водному пространству, где в волнах прячутся экзотические морские существа, а среди льдин курсируют пираты. Но что же с виновницей всего происшедшего? На этот раз для воссоединения с орехом она отправится туда, куда еще никогда не ступала лапа доисторической белки."
Собачья жизнь,"драма, комедия",2017,США,8.2,"Собаки бывают разных пород, мастей и размеров. Они наши самые  верные и преданные друзья, а мы учим их хорошим манерам. Собаки всегда думают о нас, правда, иногда и о беконе. Все они каждый день провожают и встречают нас у порога в уверенности, что пока им есть, кого облизывать и любить, в их жизни есть смысл."
Ральф против интернета,"анимация, комедия, фантастика, приключения, семейный",2018,США,8.2,"На этот раз Ральф и Ванилопа фон Кекс выйдут за пределы зала игровых автоматов и отправятся покорять бескрайние просторы интернета, который может и не выдержать сокрушительного обаяния громилы."
"Значит, война","комедия, боевик, мелодрама",2011,США,8.2,"Если ты секретный агент, море тебе, как правило, по колено. А если ты влюбленный секретный агент? Хуже, но жить можно. А если в предмет твоей страсти влюблен другой секретный агент? Проблема, хоть и с трудом, но решаема. Но что делать, если этот соперник еще и твой закадычный друг?"
Лёд 2,"мелодрама, драма",2020,Россия,8.2,"Что происходит в сказках после свадьбы принца и принцессы? Фигуристка Надя и хоккеист Саша поженились и больше всего на свете мечтают о ребенке. Правда, цена, которую им придется заплатить за эту мечту, будет невообразимо высока. Кажется, что после таких потрясений рассчитывать на счастливый конец уже невозможно. Но если вы так думаете, вы ничего не знаете о настоящих сказках..."
Впритык,комедия,2010,США,8.2,"Питер готовится стать отцом и находится на грани нервного срыва. И его нервам не идет на пользу тот факт, что ему предстоит предпринять целое путешествие, да еще и в компании честолюбивого актера, чтобы успеть добраться домой к рождению собственного ребенка."
Механик,"драма, боевик",2011,США,8.2,"Профессиональный киллер Артур Бишоп решает поделиться мастерством с молодым и отчаянным Стивом. Тот проявляет себя рьяным и усердным учеником, получающим искреннее удовольствие от процесса убийства. Чтобы спасти мир от садиста-киллера и уцелеть самому, Артуру придется сойтись с молодым подонком и бывшими подельниками-заказчиками в смертельной схватке..."
Стражи Галактики. Часть 2,"боевик, фантастика",2017,США,8.2,"Все в сборе: Землянин Питер Квилл (известный также, как Звездный Лорд), молчаливый громила Дракс, зеленокожая наемница Гамора, живое дерево Грут и говорящий енот (особенно енот!) Ракета. Герои не изменяют себе и с завидной регулярностью продолжают попадать в немыслимые ситуации, выпутываясь из них почти без ущерба (а иногда даже с пользой) для окружающих. На этот раз им предстоит раскрыть одну из самых главных тайн во всей Галактике: кто же на самом деле отец Питера Квилла?"
Майор Гром: Чумной Доктор,"фантастика, драма, боевик",2021,Россия,8.2,"Майор полиции Игорь Гром известен всему Санкт-Петербургу своим пробивным характером и непримиримой позицией по отношению к преступникам всех мастей. Неимоверная сила, аналитический склад ума и неподкупность — всё это делает майора Грома идеальным полицейским, не знающим преград. Но всё резко меняется с появлением человека в маске Чумного Доктора. Заявив, что его город «болен чумой беззакония», он принимается за «лечение», убивая людей, которые в своё время ушли от наказания при помощи денег и высокого статуса в обществе. Общество взбудоражено. Полиция бессильна. Игорь впервые сталкивается с трудностями в расследовании, от итогов которого может зависеть судьба всего города…"
Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма",1997,Япония,8.2,"Юный принц Ашитака, убив вепря, навлек на себя смертельное проклятие. Старая знахарка предсказала ему, что только он сам способен изменить свою судьбу. И отважный воин отправился в опасное путешествие. Так он оказался в загадочной стране, где люди под предводительством злой госпожи Эбоши воевали с обитателями леса: духами, демонами и гигантскими существами, каких Ашитака раньше никогда не видел."
Кунг-Фу Панда 2,"комедия, анимация",2011,США,8.2,"Панда По, величайший в мире фанат кунг-Фу, продолжает свое путешествие, как и гласит древнее пророчество, осваивая искусство кунг-Фу."
Легенды ночных стражей,"фэнтези, анимация, приключения",2010,США / Австралия,8.2,"Миром, в котором уже не осталось людей, правят совы… добрые… злые… как и всегда! В волшебном лесу — королевстве сов Тито — на Великом Дереве Га`Хуул, где разумные совы живут в гармонии, наступают мрачные времена. Королевство подвергается страшной опасности со стороны соседних жестоких правителей, и эта опасность грозит уничтожить привычное мироздание."
Доктор Стрэндж,"фэнтези, приключения",2016,США,8.2,"Стефан Стрейндж был искусным хирургом, слишком влюбленным в свою работу и бесконечно уверенным в себе. Страшная автокатастрофа лишила руки доктора былой чувствительности. Потеряв смысл жизни, герой отправился на поиски средства исцеления тела и души и, спустя многие годы, стал одним из могущественных магов Земли."
После,"драма, мелодрама",2019,США,8.2,"Случайная встреча перевернула их привычный мир. Она – прилежная студентка и образцовая дочь, а он – дьявольски притягательный бунтарь из богатой семьи. Живя в параллельных вселенных, они бы вряд ли даже взглянули друг на друга. Однако этому знакомству суждено разделить жизнь влюбленных на до и после… "
Миллионер из трущоб,"мелодрама, драма, комедия",2008,Великобритания,8.2,Удивительная история 18-летнего сироты из бомбейских трущоб Джамаля Малика.
Неадекватные люди,комедия,2010,Россия,8.2,"Биться головой о стенку гораздо веселее, когда знаешь, что за ней скрывается родственная душа."
Поворот не туда,"триллер, ужасы",2003,США,8.2,"Через три часа у Криса назначено собеседование в городе Рэли, и он наслаждается жизнью в своем недавно купленном ""Мустанге"" с открытым верхом... пока не обнаруживает впереди огромную автомобильную пробку, грозящую ему многочасовым ожиданием. Намереваясь всё же успеть на собеседование, Крис разворачивается и мчится в обратном направлении по шоссе штата Западная Вирджиния. Вскоре на местной заправке он обнаруживает карту, и решает свернуть на второстепенную дорогу. Этой дорогой мало кто пользуется, но для Криса это реальная возможность объехать пробку. Неподалеку Джесси и ее друзья — Карли со своим бойфрендом Скоттом и Эван со своей подружкой Фрэнсин, находятся в шоке — их путешествие закончилось тем, что шины лопнули, и они оказались застрявшими в лесной глуши. Группа быстро объединяется и решает найти телефон. Эван и Фрэнсин остаются рядом с машинами, остальные же отправляются по дороге. По мере того, как они углубляются в лесные дебри, мысль о чьей-то злой шутке становится сомнительной... Продолжительность: 95 мин"
Мстители,боевик,2012,США,8.2,"Локи, сводный брат Тора, возвращается, и в этот раз он не один. Земля на грани порабощения, и только лучшие из лучших могут спасти человечество."
Плохие парни навсегда,"боевик, криминал, комедия",2020,США,8.2,"Бёрнетт рассорился с напарником, оставил службу в полиции Майами и занялся частной сыскной деятельностью. Лоури тем временем переживает кризис среднего возраста и подумывает завязать с холостяцким образом жизни. Параллельно ему приходится разбираться с новым наглым партнёром. «Плохим парням» приходится вновь объединиться, когда за ними начинает охоту албанский наёмник, желающий отомстить за смерть своего брата. Чтобы выжить, бывшие напарники должны забыть о старых обидах."
О чем говорят мужчины,комедия,2010,Россия,8.2,"О чем говорят мужчины? Конечно, о женщинах. Нет, еще о работе, о деньгах, о машинах, о футболе... но в основном, все-таки, о женщинах. А уж если у них впереди два дня, которые они, вырвавшись из офисов и семей, уехав от всех забот и обязательств, проведут в дороге — два дня, насыщенные событиями и приключениями — то можете быть уверены, что за это время они успеют обсудить немало тем... И еще. Из этих разговоров — это мы точно знаем — многие женщины узнают о себе очень много нового."
Индиана Джонс и последний крестовый Поход,"фантастика, боевик, приключения, триллер",1989,США,8.2,"На этот раз бесстрашный Индиана разыскивает самую таинственную реликвию в истории человечества - Святой Грааль. В этом археологу помогает его отец - профессор Джонс-старший. Теперь под бдительным оком своего отца и при помощи своих верных талисманов, неизменной шляпы и хлыста, Индиане предстоит совершить много благородных подвигов и потрясающих открытий. В новых странствиях храброму археологу доведется добыть чашу, которую держал в руках Иисус Христос и получить автограф... самого Адольфа Гитлера."
Заклятие 3: По воле дьявола,ужасы,2021,США,8.2,"Фильм расскажет леденящую кровь историю ужасающего убийства и неизвестного зла, которая в реальной жизни поразила даже опытных исследователей паранормальных явлений Эда и Лоррейн Уорренов. Одно из их самых сенсационных дел началось с борьбы за душу юноши, а привело к тому, чего они не видели ни разу за свою практику, когда впервые в истории США подозреваемый в убийстве в свою защиту заявил, что был одержим демоном."
Аквамен,"фантастика, приключения, боевик",2018,США,8.2,"Артур Карри был сыном работника маяка по имени Том Карри и женщины по имени Атланна. Артур уже в подростковом возрасте демонстрировал невероятную силу и скорость, а также возможность дышать под водой и разговаривать с рыбами. Будучи при смерти, Атланна раскрыла мальчику правду: она была Королевой Атлантиды, находившейся в изгнании, и пообещала, что однажды Артур станет правителем семи морей. Его отец дал ему образование и научил управлять своими возможностями, что в конечном итоге помогло ему стать героем по имени Аквамен."
Мадагаскар 3,"анимация, семейный",2012,США,8.2,"Лев Алекс, зебра Марти, жираф Мелман и бегемот Глория присоединяются к бродячему цирку, в надежде вернуться в Нью-Йорк."
Человек-паук: Через вселенные,"анимация, приключения, фантастика",2018,США,8.2,"В центре сюжета уникальной и инновационной в визуальном плане картины подросток из Нью-Йорка Майлз Моралес, который живет в мире безграничных возможностей вселенных Человека-паука, где костюм супергероя носит не только он."
Одиннадцать друзей Оушена,"криминал, триллер",2001,США / Австралия,8.2,"Вор-виртуоз Дэнни Оушен выходит из тюрьмы с намерением взяться за старое. В его планах одним махом ограбить крупнейшее казино Лас-Вегаса, принадлежащее Терри Бенедикту. Таким образом, Дэнни не только сорвет многомиллионный куш, но и отомстит Терри за то, что тот увел его женщину. Все, что требуется — так это набрать команду таких же виртуозов в своем ремесле, от компьютерщиков до обычных воришек."
Ледниковый период 2: Глобальное потепление,"комедия, семейный, анимация",2006,США,8.2,"Ледниковый период закончился, и таящий снег грозит уничтожить долину, где живут Диего, Мэнни и Сид. Ну а значит, им придется объединиться и предупредить всех остальных жителей об опасности."
Доктор Сон,"мистика, ужасы",2019,США,8.2,"Прошло много лет с тех пор, как мальчик-ясновидец Дэнни Торранс пережил кошмарный сезон в отеле «Оверлук», где стал свидетелем безумия и гибели своего отца. Повзрослев, но не оправившись от детской травмы, Дэнни ведёт жизнь маргинала-алкоголика. С ним устанавливает связь другая «сияющая» девочка, Абра. Ей потребуется помощь Дэнни, чтобы не стать жертвой так называемого «Истинного Узла» — группы охотников за одарёнными детьми."
Молот,"драма, спорт",2016,Россия,8.2,"В шаге от чемпионского титула карьеру «Молота» перечеркивает страшная авария. Отныне любой поединок может стать для него последним. Но когда под угрозой оказывается его любовь, он доказывает, что «Молотом» его прозвали не только за сокрушительный удар. Настоящий боец на ринге и в жизни, он продолжает борьбу даже в центре паутины лжи и предательства. Рискуя всем, он идет напролом, чтобы спасти себя и свою возлюбленную."
Король говорит!,"драма, исторический",2010,Великобритания / Австралия,8.2,"Сюжет ленты расскажет о герцоге, который готовится вступить в должность британского короля Георга VI, отца нынешней королевы Елизаветы II. После того, как его брат отрекается от престола, герой неохотно соглашается на трон. Измученный страшным нервным заиканием и сомнениями в своих способностях руководить страной, Георг обращается за помощью к неортодоксальному логопеду по имени Лайонел Лог. После серии неожиданных техник и в результате дружбы двух непохожих людей, герой наконец обретает свой королевский голос и смело ведет Англию на войну."
Гадкий я,"семейный, анимация",2010,США,8.1,"Суперзлодей Грю крадёт крупнейшую из египетских пирамид, заменив её надувным муляжом. Пока правительства стран мира стараются защитить от кражи свои памятники культуры, презренный злодей подземелья готовит план ещё масштабнее — он намеревается украсть Луну."
Убойные каникулы,комедия,2009,Канада,8.1,"Группа студентов колледжа отправляется за город, чтобы вовсю оторваться на выходных: попить пивка, поплавать в озере и подышать чистым лесным воздухом. Но уже в первый день они сталкиваются с неотесанными фермерами Такером и Дэйлом, также решившими как следует оттянуться на природе. Приняв этих диковатых, но, в сущности, симпатичных ребят за «злобных местных», горожане решают дать деревенщине жесткий отпор. Но с каждым их шагом становится только хуже…"
Список Шиндлера,"исторический, военный, драма, биография",1993,США,8.1,"Реальная история загадочного Оскара Шиндлера, члена нацистской партии, преуспевающего фабриканта, спасшего во время Второй Мировой войны более тысячи ста евреев. Это триумф одного человека, не похожего на других, и драма тех, кто, благодаря ему, выжил в ужасный период человеческой истории."
Моана,анимация,2016,США,8.1,"Бесстрашная Моана, дочь вождя маленького племени на острове в Тихом океане, больше всего на свете мечтает о приключениях и решает отправиться в опасное морское путешествие. Вместе с некогда могущественным полубогом Мауи им предстоит пересечь океан, сразиться со страшными чудовищами и разрушить древнее заклятие. "
Д'Артаньян и три мушкетёра,"мюзикл, приключения",1979,СССР,8.1,"Классический случай, когда молодость и присущая ей бесшабашность - не порок, а дорога к славе. Бедный гасконский дворянин, благодаря безрассудной храбрости, сумел спасти со своими друзьями мушкетерами честь королевы Франции. Несмотря на все козни, чинимые кардиналом Ришелье руками своих подручных"
Добро пожаловать в Зомбилэнд,"комедия, ужасы",2009,США,8.1,"После того, как США были разорены в результате нашествия зомби, от населения остаётся небольшая группа выживших, которая скитается по стране от побережья к побережью, сражаясь с живыми мертвецами. Однажды они останавливаются в парке развлечений, надеясь на то, что там они будут в безопасности."
Рыцарь дня,"боевик, комедия",2010,США,8.1,"Не иначе как сама судьба свела тайного агента с девушкой, которой категорически не везет с парнями, поставив его тем самым перед сложнейшим выбором: кого спасать первым?"
Клаустрофобы,ужасы,2019,США,8.1,"Получив от таинственной организации приглашение сыграть в квест, победитель которого получит солидную сумму, шестеро незнакомых между собой людей решают попытать удачу. Но совсем скоро им становится понятно, что их выбрали для игры не случайно, задания не такие безобидные и им грозит вполне реальная опасность, а ставка в игре – их собственные жизни."
Балерина,"анимация, семейный",2017,Франция / Канада,8.1,Обычная девочка из сиротского приюта мечтает только об одном - стать известной балериной. Впереди ее ждет самое волшебное приключение в ее жизни. И ничто не сможет ей помешать.
"Я, робот","фантастика, приключения, триллер",2004,США,8.1,"По рассказам Айзека Азимова серии ""Я, робот"". 2050 год. Роботы стали обычными помощниками человека. Главный герой – полицейский, не переваривающий роботов, расследует дело об убийстве, в которое оказывается вовлечен робот Сонни. Речь идет о возможном нарушении Закона о Роботах (робот никогда не поднимет руку на человека), что, в принципе, невозможно. Ситуация близка к катастрофической: если машины могут нарушать этот закон, то уже ничто не остановит их от захвата контроля над людьми, тем более, что человечество уже давно стало полностью зависимо от роботов."
Салют-7,"драма, исторический",2017,Россия,8.1,"1985 год. Советская космическая станция «Салют-7», находящаяся на орбите в беспилотном режиме, неожиданно перестает отвечать на сигналы, посылаемые из центра управления полетом. Падение станции, являющейся гордостью советской науки и космонавтики, может обернуться не только потерей имиджа страны, но и трагедией с человеческими жертвами. Чтобы узнать причины аварии предотвратить катастрофу, необходимо отправить на орбиту людей. Однако, никто никогда не стыковался в космосе с неуправляемым объектом. Полет к станции Салют-7 до сих пор считается, с технической точки зрения, самым сложным в истории мировой космонавтики."
Дело Ричарда Джуэлла,драма,2019,США,8.1,"История Ричарда Джуэлла, который работал охранником на Олимпийских играх 1996 года и, заметив рюкзак с бомбой, сумел вовремя эвакуировать людей. Однако всеобщая благодарность длилась недолго: через несколько дней Джуэлл сам превратился в главного подозреваемого и жертву уничижительной травли со стороны СМИ."
Реквием по мечте,"драма, криминал",2000,США,8.1,"Одинокая вдова Сара Гольдфарб, мечтая попасть на популярную телеигру, садится на жестокую диету, которая в итоге сводит ее в могилу. Ее милый, но бесхарактерный сын Гарри обретает новую подружку, с которой они мечтают о райском счастье вдали от мира. Свои иллюзии они подпитывают наркотиками, которые в конце концов убивают не только любовь, но и их души."
Отель Мумбаи: Противостояние,"триллер, драма, криминал",2018,Австрия,8.1,"Индия. Мумбаи. Роскошный отель «Тадж-Махал Палас» -  гарантия безопасности. И каждый гость здесь – бог. Но однажды мир красоты, роскоши и комфорта рушится…Три дня противостояния смерти, три дня борьбы за выживание…  "
Хоббит: Пустошь Смауга,"драма, фэнтези, приключения",2013,США / Новая Зеландия,8.1,"После успешного перехода через Туманные горы, Торин и компания вынуждены обратиться за помощью к могучему незнакомцу, прежде чем отправиться в опасное Лихолесье без волшебника. Их компания обязана завершить свое путешествие к Одинокой горе, где Бэггинсу нужно будет найти потайную дверь, чтобы добраться до клада Смауга…"
Семейка Крудс,"анимация, комедия, приключения, семейный",2013,США,8.1,"Землетрясение уничтожило дом доисторической семьи, и теперь Крудсам придётся искать другое пристанище. А вокруг новый и опасный мир! Им на помощь приходит молодой кочевник Малой, передовые взгляды которого наталкиваются на консервативность главы семьи Груга. Но только вместе они смогут выжить и достичь своей цели…"
Мулан,"семейный, анимация",1998,США,8.1,"Действие полнометражного мультфильма для детей происходит в древнем Китае. На страну напали кровожадные гунны, и из каждой семьи призвали в армию по одному мужчине. В семье юной девушки по имени Мулан мужчин, кроме инвалида-отца, охромевшего на военной службе, никого не было. Отец был гордым человеком и решил идти на войну, несмотря на увечье. Тогда Мулан переоделась в мужчину и сбежала из дома, прихватив коня и отцовские боевые доспехи. Если бы узнали, что она женщина, это опозорило бы весь ее род, а ее бы казнили. Мулан очень рисковала, но из нее получился замечательный воин, она даже спасла жизнь не только своему командиру - красивому молодому капитану, - но и самому императору! Заканчивается все... свадьбой. Помогал отважной девушке во всех ее приключениях, забавных и опасных, смешной маленький дракончик из семейного храма, где обитали духи предков ее рода. Детям обязательно понравится этот мультик от компании Диснея. Все песни переведены и спеты на русском языке."
Малена,"военный, драма, мелодрама",2000,Италия / США,8.1,"Это трагическая история первой любви подростка из маленького сицилийского городка. Случилось так, что он по уши влюбился в красавицу Малену, являющуюся настоящим бельмом в глазах местных жителей. Внешне изысканно одетая дама, разодетая в шелка и капрон, она - падшая женщина, путающаяся с немцами. В конце концов, дошло до того, что добропорядочные католички нещадно избили ненавистную Малену. Мальчику предстоит увидеть это, но его влюбленность только усилится."
Исходный код,"драма, фантастика",2011,США / Франция,8.1,"Пилот американской армии Колтер приходит в сознание в теле пригородного жителя Шона Фентресса, следующего на электричке в Нью-Йорк. Всего семнадцать минут отделяют его от момента, когда террористический акт уничтожит поезд и всех его пассажиров, а после Колтер вновь очнется в теле Фентресса на очередные семнадцать минут."
Фердинанд,анимация,2017,США,8.1,"Фердинанд – самый добродушный бык во всей Испании. Несмотря на внушительные размеры и недюжинную силу, он с детства предпочитал сидеть на лужайке и любоваться цветами вместо того, чтобы бодаться с другими быками. По нелепой случайности Фердинанд был выбран среди других соплеменников для участия в бое быков в Мадриде. Фердинанду предстоит отстоять свои миролюбивые убеждения и напомнить нам о том, что даже перед лицом трудностей главное – остаться собой. Ведь только так и можно изменить мир вокруг."
Час пик 2,"триллер, комедия, приключения, боевик",2001,США,8.1,"История начинается непосредственно с того момента, на котором закончилась первая часть - полицейские Ли и Картер прибывают в Гонконг по следам преступников, замышляющих похищение китайский сокровищ и продажи их в штатах. По мере того, как детективы Картер и Ли становятся все больше и больше запутанными в преступном заговоре, вовлекающем их в смертоносную Триаду, поездка в стиле нон-стоп от Гонконга до Лос-Анджелеса и Лас-Вегаса, оборачивается для них безумно интересным, смешным и в то же время опасным приключением. Полицейские должны использовать все свои навыки, чтобы заманить в ловушку одного из самых опасных преступников в мире..."
Непрощенный,драма,2018,Россия,8.1,"Жизнь для инженера-строителя Виталия Калоева остановилась в ту самую секунду, когда самолет ""Башкирских авиалиний"", в котором летели его жена и дети, столкнулся над Боденским озером с транспортным самолетом. Не дождавшись семьи в аэропорту Барселоны, Виталий отправляется на место катастрофы — и находит их тела. Калоев теряет все, ради чего он жил. Теперь его некогда наполненный детским смехом дом — кладбище. Виталий ищет диспетчера, по вине которого погибла его семья, он хочет услышать слова извинения..."
Крепкий орешек 4.0,"приключения, триллер, боевик",2007,США,8.1,"На этот раз Джон МакЛейн будет спасать Штаты от группы интернет-террористов, собирающихся буквально ""выключить"" Соединенные Штаты Америки. А, учитывая, что Джон — человек старой формации, то в деле борьбы с современными технологиями ему, кроме старой доброй ""Беретты"", понадобится молодой, недисциплинированный, но очень талантливый помощник."
Шрэк навсегда,"сказка, приключения, семейный, анимация, комедия",2010,США,8.1,"Чем заняться огру, уже бросившему вызов злобному дракону, спасшему прекрасную принцессу и все Тридесятое Королевство? Тоскуя по прежним временам, Шрэк подписывает контракт с «продавцом счастья» - хитрым и коварным дельцом Румпельштильтскином и вдруг оказывается в альтернативной реальности, где на огров объявлена охота, где Румпельштильтскин восседает на троне, а Шрэк и Фиона даже не знакомы! Теперь Шрэку предстоит исправить свою ошибку, спасти своих друзей, свой мир и вновь обрести свою любовь…"
Гномео и Джульетта,"фэнтези, анимация, мелодрама, семейный",2011,США / Великобритания,8.1,"Действие разворачивается на родине Шекспира, в городке Стратфорд-на-Эйвоне, в двух соседских садах, украшенных глиняными гномами. Господином Капулетти и мисс Монтекки – соседи ненавидящие друг друга. Эта ненависть передалась и гномам, которые оживают как только люди отворачиваются и продолжают междоусобную вражду, начататую хозяевами. Гномео – лидер голубых гномов – на свою беду влюбляется в Джульетту – любимую дочь красных. Какая же теперь вражда? Любовь! Со счастливым концом и шутками в процессе. И все благодаря розовому фламинго"
Джокер,"криминал, драма",2019,США,8.1,"Готэм, начало 1980-х годов. Комик Артур Флек живет с больной матерью, которая с детства учит его «ходить с улыбкой». Пытаясь нести в мир хорошее и дарить людям радость, Артур сталкивается с человеческой жестокостью и постепенно приходит к выводу, что этот мир получит от него не добрую улыбку, а ухмылку злодея Джокера."
